month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥1.0/TP≥55,128,56,47,9,83.93,8.43,-4.12,20.98,4.72,0.75,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥1.0/TP≥60,128,56,47,9,83.93,8.43,-4.12,20.98,4.72,0.75,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥1.0/TP≥65,128,56,47,9,83.93,8.43,-4.12,20.98,4.72,0.75,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤0.7/μ≥-/TP≥-,306,65,51,14,78.46,1.23,-11.77,14.23,0.8,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤0.7/μ≥-/TP≥50,158,65,51,14,78.46,1.23,-11.77,14.23,0.8,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤0.7/μ≥-/TP≥55,158,65,51,14,78.46,1.23,-11.77,14.23,0.8,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤0.7/μ≥-/TP≥60,158,65,51,14,78.46,1.23,-11.77,14.23,0.8,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤0.7/μ≥-/TP≥65,153,63,49,14,77.78,0.25,-13.09,13.6,0.159,0.583,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤0.7/μ≥0.0/TP≥-,306,65,51,14,78.46,1.23,-11.77,14.23,0.8,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤0.7/μ≥0.0/TP≥50,158,65,51,14,78.46,1.23,-11.77,14.23,0.8,0.615,13
