month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥0.5/TP≥55,335,276,195,81,70.65,0.27,-7.38,7.92,0.743,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥0.5/TP≥60,335,276,195,81,70.65,0.27,-7.38,7.92,0.743,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥0.5/TP≥65,335,276,195,81,70.65,0.27,-7.38,7.92,0.743,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥1.0/TP≥-,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥1.0/TP≥50,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥1.0/TP≥55,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥1.0/TP≥60,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥1.0/TP≥65,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥-/TP≥-,99,82,62,20,75.61,7.04,-6.22,20.31,5.775,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥-/TP≥50,99,82,62,20,75.61,7.04,-6.22,20.31,5.775,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥-/TP≥55,99,82,62,20,75.61,7.04,-6.22,20.31,5.775,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥-/TP≥60,99,82,62,20,75.61,7.04,-6.22,20.31,5.775,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥-/TP≥65,99,82,62,20,75.61,7.04,-6.22,20.31,5.775,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥0.0/TP≥-,99,82,62,20,75.61,7.04,-6.22,20.31,5.775,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥0.0/TP≥50,99,82,62,20,75.61,7.04,-6.22,20.31,5.775,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥0.0/TP≥55,99,82,62,20,75.61,7.04,-6.22,20.31,5.775,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥0.0/TP≥60,99,82,62,20,75.61,7.04,-6.22,20.31,5.775,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥0.0/TP≥65,99,82,62,20,75.61,7.04,-6.22,20.31,5.775,0.692,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥0.5/TP≥-,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥0.5/TP≥50,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥0.5/TP≥55,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥0.5/TP≥60,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥0.5/TP≥65,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥1.0/TP≥-,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥1.0/TP≥50,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥1.0/TP≥55,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥1.0/TP≥60,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤0.7/μ≥1.0/TP≥65,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥5.0/CV≤-/μ≥-/TP≥-,315,259,184,75,71.04,1.01,-6.88,8.89,2.606,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥5.0/CV≤-/μ≥-/TP≥50,315,259,184,75,71.04,1.01,-6.88,8.89,2.606,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥5.0/CV≤-/μ≥-/TP≥55,315,259,184,75,71.04,1.01,-6.88,8.89,2.606,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥5.0/CV≤-/μ≥-/TP≥60,315,259,184,75,71.04,1.01,-6.88,8.89,2.606,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥5.0/CV≤-/μ≥-/TP≥65,315,259,184,75,71.04,1.01,-6.88,8.89,2.606,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥5.0/CV≤-/μ≥0.0/TP≥-,315,259,184,75,71.04,1.01,-6.88,8.89,2.606,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥5.0/CV≤-/μ≥0.0/TP≥50,315,259,184,75,71.04,1.01,-6.88,8.89,2.606,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥5.0/CV≤-/μ≥0.0/TP≥55,315,259,184,75,71.04,1.01,-6.88,8.89,2.606,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥5.0/CV≤-/μ≥0.0/TP≥60,315,259,184,75,71.04,1.01,-6.88,8.89,2.606,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥5.0/CV≤-/μ≥0.0/TP≥65,315,259,184,75,71.04,1.01,-6.88,8.89,2.606,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥5.0/CV≤-/μ≥0.5/TP≥-,304,249,175,74,70.28,-0.19,-8.28,7.91,-0.467,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥5.0/CV≤-/μ≥0.5/TP≥50,304,249,175,74,70.28,-0.19,-8.28,7.91,-0.467,0.385,13
