band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥-/TP≥55,68.92,-5.0,0.7,,55.0,151,148,102,46,68.92,-2.59,-13.18,8.01,-3.83,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥-/TP≥60,68.92,-5.0,0.7,,60.0,151,148,102,46,68.92,-2.59,-13.18,8.01,-3.83,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥-/TP≥65,69.72,-5.0,0.7,,65.0,145,142,99,43,69.72,-1.61,-12.33,9.11,-2.287,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥-,68.92,-5.0,0.7,0.0,,151,148,102,46,68.92,-2.59,-13.18,8.01,-3.83,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥50,68.92,-5.0,0.7,0.0,50.0,151,148,102,46,68.92,-2.59,-13.18,8.01,-3.83,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥55,68.92,-5.0,0.7,0.0,55.0,151,148,102,46,68.92,-2.59,-13.18,8.01,-3.83,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥60,68.92,-5.0,0.7,0.0,60.0,151,148,102,46,68.92,-2.59,-13.18,8.01,-3.83,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥65,69.72,-5.0,0.7,0.0,65.0,145,142,99,43,69.72,-1.61,-12.33,9.11,-2.287,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥-,68.92,-5.0,0.7,0.5,,151,148,102,46,68.92,-2.59,-13.18,8.01,-3.83,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥50,68.92,-5.0,0.7,0.5,50.0,151,148,102,46,68.92,-2.59,-13.18,8.01,-3.83,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥55,68.92,-5.0,0.7,0.5,55.0,151,148,102,46,68.92,-2.59,-13.18,8.01,-3.83,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥60,68.92,-5.0,0.7,0.5,60.0,151,148,102,46,68.92,-2.59,-13.18,8.01,-3.83,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥0.5/TP≥65,69.72,-5.0,0.7,0.5,65.0,145,142,99,43,69.72,-1.61,-12.33,9.11,-2.287,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥1.0/TP≥-,68.66,-5.0,0.7,1.0,,135,134,92,42,68.66,-2.93,-14.1,8.24,-3.926,0.37,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥1.0/TP≥50,68.66,-5.0,0.7,1.0,50.0,135,134,92,42,68.66,-2.93,-14.1,8.24,-3.926,0.37,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥1.0/TP≥55,68.66,-5.0,0.7,1.0,55.0,135,134,92,42,68.66,-2.93,-14.1,8.24,-3.926,0.37,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥1.0/TP≥60,68.66,-5.0,0.7,1.0,60.0,135,134,92,42,68.66,-2.93,-14.1,8.24,-3.926,0.37,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥1.0/TP≥65,69.23,-5.0,0.7,1.0,65.0,131,130,90,40,69.23,-2.22,-13.49,9.05,-2.883,0.407,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.6/μ≥-/TP≥-,67.65,-5.0,0.6,,,139,136,92,44,67.65,-4.17,-15.37,7.03,-5.671,0.37,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.6/μ≥-/TP≥50,67.65,-5.0,0.6,,50.0,139,136,92,44,67.65,-4.17,-15.37,7.03,-5.671,0.37,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.6/μ≥-/TP≥55,67.65,-5.0,0.6,,55.0,139,136,92,44,67.65,-4.17,-15.37,7.03,-5.671,0.37,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.6/μ≥-/TP≥60,67.65,-5.0,0.6,,60.0,139,136,92,44,67.65,-4.17,-15.37,7.03,-5.671,0.37,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.6/μ≥-/TP≥65,68.46,-5.0,0.6,,65.0,133,130,89,41,68.46,-3.18,-14.54,8.19,-4.128,0.333,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.6/μ≥0.0/TP≥-,67.65,-5.0,0.6,0.0,,139,136,92,44,67.65,-4.17,-15.37,7.03,-5.671,0.37,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.6/μ≥0.0/TP≥50,67.65,-5.0,0.6,0.0,50.0,139,136,92,44,67.65,-4.17,-15.37,7.03,-5.671,0.37,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.6/μ≥0.0/TP≥55,67.65,-5.0,0.6,0.0,55.0,139,136,92,44,67.65,-4.17,-15.37,7.03,-5.671,0.37,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.6/μ≥0.0/TP≥60,67.65,-5.0,0.6,0.0,60.0,139,136,92,44,67.65,-4.17,-15.37,7.03,-5.671,0.37,27
